Term"	"曜日/
Day of Week"	"時限/
Period"	Online	"Zoom 
MTG ID "	"教室/
Classroom"	"講義CD/
Subject CD"	講義名	Subject Name	担当教員	Instructor	"言語/
Semester	月/Mon.	2			FⅡ327	010260SA	マレー語･インドネシア語Ⅰ SA	Malay/Indonesian I SA	ELVITA Wiasih	ELVITA Wiasih		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			FⅡ329	010260SE	マレー語･インドネシア語Ⅰ SE	Malay/Indonesian I SE	藤崎 拓海	FUJISAKI Takumi		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			FⅡ326	010270SA	マレー語･インドネシア語Ⅱ SA	Malay/Indonesian II SA	SRI Budi Lestari	SRI Budi Lestari		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			FⅡ223	010290SA	スペイン語Ⅰ SA	Spanish I SA	福川 美沙	FUKUKAWA Misa		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			FⅡ224	010290SD	スペイン語Ⅰ SD	Spanish I SD	VILA LOPEZ Eduardo	VILA LOPEZ Eduardo		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			FⅡ225	010300SC	スペイン語Ⅱ SC	Spanish II SC	MOLINA Noemi	MOLINA RODRIGUEZ Noemi		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			FⅡ228	010320SB	タイ語Ⅰ SB	Thai I SB	PHANKHIAN Areeluck	PHANKHIAN Areeluck		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			FⅡ226	010330SA	タイ語Ⅱ SA	Thai II SA	LIMTHANANUNTHA P.	LIMTHANANUNTHA Phenssinee		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			FⅡ330	010370SA	ベトナム語Ⅲ SA	Vietnamese III SA	NGUYEN Hoang Minh	NGUYEN Hoang Minh		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			D214	011100AA	英語初級A AA	Elementary English A AA	PIGNOLET Lucas	PIGNOLET Lucas		1	言語/Language	英語English
Semester	月/Mon.	2			D301	011100AB	英語初級A AB	Elementary English A AB	LARKING Malcolm	LARKING Malcolm		1	言語/Language	英語English
Semester	月/Mon.	2			FⅡ123	011100AC	英語初級A AC	Elementary English A AC	斉藤 沙綾香	SAITO Sayaka		1	言語/Language	英語English
Semester	月/Mon.	2			FⅡ124	011100AD	英語初級A AD	Elementary English A AD	石毛 愛佳	ISHIGE Aika		1	言語/Language	英語English
Semester	月/Mon.	2			D104	011100AE	英語初級A AE	Elementary English A AE	BERNARD Malia Ana	BERNARD Malia Ana		1	言語/Language	英語English
Semester	月/Mon.	2			D103	011100AF	英語初級A AF	Elementary English A AF	BEUCKENS Roger Todd	BEUCKENS Roger Todd		1	言語/Language	英語English
Semester	月/Mon.	2			D212	011103BA	英語準中級B BA	Pre-Intermediate English B BA	MARZONA Nikki	MARZONA Nikki		1	言語/Language	英語English
Semester	月/Mon.	2			D304	011103BB	英語準中級B BB	Pre-Intermediate English B BB	CROWLEY Kevin	CROWLEY Kevin		1	言語/Language	英語English
Semester	月/Mon.	2			D204	011103BC	英語準中級B BC	Pre-Intermediate English B BC	JONES Kent	JONES Kent		1	言語/Language	英語English
Semester	月/Mon.	2			D109	011103BD	英語準中級B BD	Pre-Intermediate English B BD	HU Cindy Hsin Yu	HU Cindy Hsin Yu		1	言語/Language	英語English
Semester	月/Mon.	2			D203	011103BE	英語準中級B BE	Pre-Intermediate English B BE	KERR Joshua	KERR Joshua Earl		1	言語/Language	英語English
Semester	月/Mon.	2			D213	011103BF	英語準中級B BF	Pre-Intermediate English B BF	KRALIKAUSKAS Ellada	KRALIKAUSKAS Ellada		1	言語/Language	英語English
Semester	月/Mon.	2			D303	011106AA	英語準上級A AA	Upper Intermediate English A AA	MEDLEY Nicholas	MEDLEY Nicholas		1	言語/Language	英語English
Semester	月/Mon.	2			D208	011106AB	英語準上級A AB	Upper Intermediate English A AB	PRIEST David	PRIEST David		1	言語/Language	英語English
Semester	月/Mon.	2			D302	011106AC	英語準上級A AC	Upper Intermediate English A AC	ARMSTRONG Luke	ARMSTRONG Luke		1	言語/Language	英語English
Semester	月/Mon.	2			D211	011106AD	英語準上級A AD	Upper Intermediate English A AD	YIP Jordan	YIP Jordan		1	言語/Language	英語English
Semester	月/Mon.	2			D201	011106AE	英語準上級A AE	Upper Intermediate English A AE	HERRERA Girlie Ann	HERRERA Girlie Ann R.		1	言語/Language	英語English
Semester	月/Mon.	2			D111	011106AF	英語準上級A AF	Upper Intermediate English A AF	JAI Rheumi Rhubi	JAI Rheumi Rhubi		1	言語/Language	英語English
Semester	月/Mon.	2			D206	011106AG	英語準上級A AG	Upper Intermediate English A AG	PRIEST William	PRIEST William		1	言語/Language	英語English
Semester	月/Mon.	2			F301	011106AH	英語準上級A AH	Upper Intermediate English A AH	GIACOMELLI Joely	GIACOMELLI Joely		1	言語/Language	英語English
Semester	月/Mon.	2			D209	011106AI	英語準上級A AI	Upper Intermediate English A AI	PIKE Luke Richard	PIKE Luke Richard		1	言語/Language	英語English
Semester	月/Mon.	2			FⅡ321	011202AA	英語上級2A AA	Advanced English 2A AA	MACK Lindsay	MACK Lindsay		1	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			F110	1701901	日本語教育のための日本語学 01	Japanese Linguistics for Japanese Language Education 01	本田 明子	HONDA Akiko		3	言語/Language	言語教育科目および共通教養科目Language Education Subjects and Common Liberal Arts Subjects
Semester	月/Mon.	2			IPS 2	020097EA	データベースシステムEA	Database SystemsEA	KHAN Muhammad T.	KHAN Muhammad T.	E	5	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
Semester	月/Mon.	2			和心庵	027029EB	茶道EB	Japanese Art of Tea CeremonyEB	宗泰 ポンパン	SOTAI Pongpan	E	3	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
Semester	月/Mon.	2			FⅡ221	030717EA	投資・証券分析EA	Investment and Securities AnalysisEA	BARAI Munim Kumar	BARAI Munim Kumar	E	5	他学部/Other College	他学部科目Other College Subjects
Semester	月/Mon.	2			SPR 4	3306008	専門演習Ⅰ08	Major Seminar I08	CORTEZ Michael A.	CORTEZ Michael A.	E	6-May	他学部/Other College	他学部科目Other College Subjects
Semester	月/Mon.	2			T.B.A.	3306028	専門演習Ⅰ28	Major Seminar I28	重本 彰子	SHIGEMOTO Akiko	J	6-May	他学部/Other College	他学部科目Other College Subjects
Semester	月/Mon.	2			SPR 2	3306029	専門演習Ⅰ29	Major Seminar I29	篠原 欣貴	SHINOHARA Yoshiki	E/J	6-May	他学部/Other College	他学部科目Other College Subjects
Semester	月/Mon.	2			SPR 1	3306035	専門演習Ⅰ35	Major Seminar I35	柳 ボスル	YOO Bosul	J	6-May	他学部/Other College	他学部科目Other College Subjects
Semester	月/Mon.	2			FⅡ120	037116EA	観光経済学EA	Tourism EconomicsEA	BUI Thanh Huong	BUI Thanh Huong	E	5	専門/Major	APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
Semester	月/Mon.	2			F102	037123EC	文化・社会・メディア　特殊講義EC	Special Lecture in Culture, Society and MediaEC	ASKEW David J.	ASKEW David J.	E	5	専門/Major	APS専門教育科目APS Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
Semester	月/Mon.	2			H101	037301JA	組織行動論（上級）JA	Advanced Organizational BehaviorJA	劉 明	RYU Min	J	5	専門/Major	APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
1Q	月/Mon.	2			F106	021012JA	アジア太平洋の地理JA	Geography of the Asia PacificJA	小山 拓志	KOYAMA Takushi	J	1	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
1Q	月/Mon.	2			F201	021017EA	アジア太平洋の歴史EA	History of the Asia PacificEA	HAO Xiaoyang	HAO Xiaoyang	E	1	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
1Q	月/Mon.	2			J103	027020EA	ネゴシエーションスキルEA	Negotiation SkillsEA	HOOI Carol Lai-Wan	HOOI Carol Lai-Wan	E	1	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
1Q	月/Mon.	2			F202	030035JA	社会階層論JA	Social StratificationJA	児島 真爾	KOJIMA Shinji	J	3	専門/Major	APS専門教育科目APS Major Education Subjects orCSM専門教育科目(*4)CSM Major Education Subjects (*4)
1Q	月/Mon.	2			F204	030192JA	国際問題と政策JA	Global Issues and PoliciesJA	綛田 芳憲	KASEDA Yoshinori	J	3	専門/Major	APS専門教育科目APS Major Education Subjects orIRP専門教育科目(*3)IRP Major Education Subjects (*3)
1Q	月/Mon.	2			FⅡ121	030550EE	特殊講義（専門教育科目）EE	Special Lecture(Asia Pacific Studies)EE	岡村 善文	OKAMURA Yoshifumi	E	3	専門/Major	APS専門教育科目APS Major Education Subjects 
1Q	月/Mon.	2			F203	033023EA	販売・プロモーションマネジメントEA	Promotion and Sales ManagementEA	CHEN Shu-Ching	CHEN Shu-Ching	E	3	他学部/Other College	他学部科目Other College Subjects
2Q	月/Mon.	2			T.B.A.	027009JA	ロジカルシンキングとフレームワークJA	Logical Thinking and FrameworkJA	煤田 徳東	SUSUDA Yoshihide	J	1	教養/Liberal Arts	共通教養科目Common Liberal Arts Subjects
2Q	月/Mon.	2			T.B.A.	030262JA	生物多様性JA	BiodiversityJA	山浦 紘一	YAMAURA Koichi	J	3	専門/Major	APS専門教育科目APS Major Education Subjects orED専門教育科目(*1)ED Major Education Subjects(*1) 
2Q	月/Mon.	2			T.B.A.	030760JA	消費者行動論JA	Consumer BehaviorJA	蛯谷 憲治	EBITANI Kenji	J	3	他学部/Other College	他学部科目Other College Subjects
2Q	月/Mon.	2			T.B.A.	037107JA	農業遺産とツーリズムJA	Agri-heritage and TourismJA	林 浩昭	HAYASHI Hiroaki	J	5	専門/Major	APS専門教育科目APS Major Education Subjects orHT専門教育科目(*2)HT Major Education Subjects (*2)
